goods_id,changjing
1GZ2089120180,休闲
1GZ2089120410,休闲
1GZ1089230920,休闲
1GY1084140010,休闲
1GY1084140650,休闲
1GY1084160090,休闲
1GZ1089130010,工作
1GZ1089130180,工作
1GZ1089130650,工作
1GY1084570018,工作
1GY1084570090,工作
1GY1081720090,工作
1GY1081720120,工作
1GY1084390090,工作
1GY1084390180,工作
1GY1083860018,工作
1GY1083860090,工作
1GY1084050090,工作
1GY2080280920,逛街约会
1GY1081530090,逛街约会
1GZ1089190180,逛街约会
1GY1081550090,逛街约会
1GY1081490090,逛街约会
1GY1081570180,逛街约会
1GY1081540090,逛街约会
1GY1081540410,逛街约会
1GY1081560530,逛街约会
1GY1083830010,逛街约会
1GY1083830090,逛街约会
1GZ1089510410,度假
1GY1081700025,度假
1GY2082390090,派对
1GZ1089200090,派对
1GZ1089200180,派对
1GY1083920090,派对
1GS3024560018,SNOOPY限量版
1GS3024560090,SNOOPY限量版
